,attraction_name,URL,Ratings,No_of_Reviews,Price
0,"Florida Manatee Adventure, Everglades Style Airboat, Wildlife Park & Transport",https://www.tripadvisor.in/AttractionProductReview-g34352-d21378219-Florida_Manatee_Adventure_Everglades_Style_Airboat_Wildlife_Park_Transport-Kissimme.html,5.0 of 5 bubbles,768 reviews,189.00
1,Kennedy Space Center Day Trip with Transport from Orlando,https://www.tripadvisor.in/AttractionProductReview-g34352-d11447943-Kennedy_Space_Center_Day_Trip_with_Transport_from_Orlando-Kissimmee_Florida.html,4.5 of 5 bubbles,168 reviews,69.99
2,Helicopter Night Tour Over Orlando's Theme Parks,https://www.tripadvisor.in/AttractionProductReview-g34352-d12555062-Helicopter_Night_Tour_Over_Orlando_s_Theme_Parks-Kissimmee_Florida.html,5.0 of 5 bubbles,22 reviews,125.00
3,Admission Ticket to Museum of Illusions Orlando,https://www.tripadvisor.in/AttractionProductReview-g34515-d23223175-Admission_Ticket_to_Museum_of_Illusions_Orlando-Orlando_Florida.html,5.0 of 5 bubbles,222 reviews,28.74
4,2-Hour Glass Bottom Guided Kayak Eco Tour in Rainbow Springs (Small-Group),https://www.tripadvisor.in/AttractionProductReview-g34515-d17716239-2_Hour_Glass_Bottom_Guided_Kayak_Eco_Tour_in_Rainbow_Springs_Small_Group-Orlando_Fl.html,5.0 of 5 bubbles,423 reviews,69.00
5,"The Outta Control Magic Comedy Dinner Show, Orlando",https://www.tripadvisor.in/AttractionProductReview-g34515-d12165000-The_Outta_Control_Magic_Comedy_Dinner_Show_Orlando-Orlando_Florida.html,4.5 of 5 bubbles,115 reviews,34.07
6,Wekiva River Guided Kayak Tour,https://www.tripadvisor.in/AttractionProductReview-g34615-d11991892-Wekiva_River_Guided_Kayak_Tour-Sanford_Florida.html,5.0 of 5 bubbles,100 reviews,85.60
7,SEA LIFE Orlando Aquarium,https://www.tripadvisor.in/AttractionProductReview-g34515-d12165118-SEA_LIFE_Orlando_Aquarium-Orlando_Florida.html,4.5 of 5 bubbles,161 reviews,34.03
8,Clearwater Beach Day Trip from Orlando with Optional Upgrades,https://www.tripadvisor.in/AttractionProductReview-g34352-d11447937-Clearwater_Beach_Day_Trip_from_Orlando_with_Optional_Upgrades-Kissimmee_Florida.html,5.0 of 5 bubbles,24 reviews,78.99
9,Mango's LIVE! - Dinner & Show,https://www.tripadvisor.in/AttractionProductReview-g34515-d24079174-Mango_s_LIVE_Dinner_Show-Orlando_Florida.html,5.0 of 5 bubbles,1 review,95.00
10,Crystal River Tour with Manatee Swim and Everglades Airboat Ride,https://www.tripadvisor.in/AttractionProductReview-g34352-d11447945-Crystal_River_Tour_with_Manatee_Swim_and_Everglades_Airboat_Ride-Kissimmee_Florida.html,4.5 of 5 bubbles,69 reviews,148.99
11,Kennedy Space Center and Everglades Airboat Safari from Orlando,https://www.tripadvisor.in/AttractionProductReview-g34352-d11447944-Kennedy_Space_Center_and_Everglades_Airboat_Safari_from_Orlando-Kissimmee_Florida.html,4.5 of 5 bubbles,33 reviews,193.99
